rank,nome,nota
198,Combat Commander: Europe,7.95
199,Splendor,7.42
200,Near and Far,7.70
201,Paleo,7.74
202,Star Realms: Colony Wars,7.81
203,Coimbra,7.64
204,Nations,7.61
205,Calico,7.58
206,Tichu,7.58
207,Carcassonne,7.41
208,Nidavellir,7.62
209,Paths of Glory,8.05
210,Nemesis: Lockdown,8.44
211,Under Falling Skies,7.71
212,Modern Art,7.48
213,Meadow,7.79
214,YINSH,7.71
215,Ticket to Ride,7.40
216,Ankh: Gods of Egypt,7.85
217,Cyclades,7.51
218,La Granja,7.62
219,Codenames: Duet,7.46
220,Secret Hitler,7.52
221,My City,7.69
222,MicroMacro: Crime City,7.56
223,Legendary: A Marvel Deck Building Game,7.54
224,Deception: Murder in Hong Kong,7.47
225,Zombicide: Black Plague,7.63
226,Hanamikoji,7.51
227,Century: Golem Edition,7.62
228,The Taverns of Tiefenthal,7.58
229,Kanban: Driver's Edition,7.80
230,Wonderland's War,8.17
231,Roll Player,7.47
232,Detective: A Modern Crime Board Game,7.71
233,Aeon's End: Legacy,8.07
234,The Princes of Florence,7.52
235,Welcome to the Moon,8.04
236,Flamme Rouge,7.51
237,Sushi Go Party!,7.41
238,Chronicles of Crime,7.62
239,Goa: A New Expedition,7.57
240,"Unmatched: Battle of Legends, Volume One",7.78
241,Santorini,7.38
242,Isle of Skye: From Chieftain to King,7.40
243,Splendor Duel,8.00
244,Glory to Rome,7.49
245,Pulsar 2849,7.68
246,Fantasy Realms,7.53
247,Hero Realms,7.53
248,Earth,7.87
249,1830: Railways & Robber Barons,7.87
250,Shogun,7.52
251,Galaxy Trucker,7.36
252,T.I.M.E Stories,7.42
253,KLASK,7.63
254,1960: The Making of the President,7.62
255,Samurai,7.46
256,Viticulture,7.51
257,Steam,7.56
258,Hallertau,7.93
259,Final Girl,8.40
260,Western Legends,7.62
261,Lewis & Clark: The Expedition,7.46
262,Camel Up (Second Edition),7.60
263,Tapestry,7.45
264,Bora Bora,7.56
265,Arcadia Quest,7.63
266,Vindication,7.80
267,Endless Winter: Paleoamericans,7.85
268,Kingdomino,7.32
269,Oathsworn: Into the Deepwood,9.08
270,Rococo,7.59
271,Battle Line,7.41
272,Forgotten Waters,7.88
273,Dixit: Odyssey,7.41
274,Seasons,7.36
275,Ethnos,7.47
276,Imperial,7.60
277,The Manhattan Project: Energy Empire,7.76
278,Cryptid,7.46
279,Power Grid Deluxe: Europe/North America,7.96
280,Clash of Cultures: Monumental Edition,8.42
281,Hive,7.32
282,Navegador,7.54
283,7 Wonders (Second Edition),7.88
284,Dungeon Petz,7.42
285,Indonesia,7.88
286,Anno 1800,7.76
287,Age of Empires III: The Age of Discovery,7.52
288,Cthulhu Wars,7.87
289,Nemo's War (Second Edition),7.87
290,Space Alert,7.40
291,Onitama,7.36
292,Dice Throne: Season Two – Battle Chest,8.09
293,Star Realms: Frontiers,7.95
294,Fury of Dracula (Third/Fourth Edition),7.45
295,Imperial Settlers,7.33
296,Telestrations,7.39
297,Monikers,7.78
298,Marvel United,7.61
299,Glass Road,7.46
300,Summoner Wars: Master Set,7.49
301,Imperial 2030,7.66
302,Planet Unknown,7.99
303,Runewars,7.62
304,Heaven & Ale,7.55
305,Alien Frontiers,7.37
306,Antiquity,7.86
307,Arkham Horror (Third Edition),7.70
308,Exit: The Game – The Abandoned Cabin,7.45
309,Century: Spice Road,7.32
310,Tikal,7.33
311,Wingspan Asia,8.38
312,Bruges,7.43
313,Oath: Chronicles of Empire and Exile,7.84
